"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.10.2024","130.499","130.793","131.725","130.121","8,68M","-0,22%"
"17.10.2024","130.793","131.716","131.716","129.902","7,09M","-0,73%"
"16.10.2024","131.750","131.045","132.233","130.780","10,28M","0,54%"
"15.10.2024","131.043","131.005","131.457","130.200","7,98M","0,03%"
"14.10.2024","131.005","129.992","131.220","129.729","8,50M","0,78%"
"11.10.2024","129.992","130.354","130.354","129.338","7,97M","-0,28%"
"10.10.2024","130.353","129.963","130.418","129.835","7,62M","0,30%"
"09.10.2024","129.962","131.510","131.520","129.719","9,22M","-1,18%"
"08.10.2024","131.512","132.016","132.016","130.371","9,09M","-0,38%"
"07.10.2024","132.018","131.792","132.943","131.676","7,70M","0,17%"
"04.10.2024","131.792","131.672","131.936","131.156","7,05M","0,09%"
"03.10.2024","131.672","133.514","133.514","131.176","9,82M","-1,38%"
"02.10.2024","133.515","132.495","134.922","132.495","9,40M","0,77%"
"01.10.2024","132.495","131.817","133.405","131.817","9,84M","0,51%"
"30.09.2024","131.816","132.761","133.120","131.816","9,13M","-0,69%"
